TS - 164421221; TJ - 158094084
TS - 81088086; TJ - 79143439
TS - 82075420; TJ - 77897138
TS - 79497950; TJ - 76460654
TS - 71070747; TJ - 69640781
TS - 85343016; TJ - 80540033
TS - 99094137; TJ - 97569921
TS - 84722947; TJ - 82794560
TS - 92122073; TJ - 88005110
TS - 83874195; TJ - 82195106
TS - 92941008; TJ - 91239909
TS - 79559621; TJ - 78004991
TS - 100670174; TJ - 98607157
TS - 88291191; TJ - 86680378
TS - 82398978; TJ - 80808830
TS - 74192912; TJ - 72313616
TS - 77707450; TJ - 76244347
TS - 78772559; TJ - 77341098
TS - 83531582; TJ - 82001474
TS - 282034997; TJ - 269784977
TS - 107537427; TJ - 105026660
TS - 77539287; TJ - 76007812
TS - 77266648; TJ - 75843189
TS - 76502152; TJ - 75038416
TS - 115988513; TJ - 114620385
TS - 88996929; TJ - 86168810
TS - 74886923; TJ - 73653362
TS - 83585370; TJ - 81908241
TS - 86938814; TJ - 85489433
TS - 94331462; TJ - 92901114
TS - 78256372; TJ - 77033508
TS - 76763001; TJ - 74008125
TS - 76682525; TJ - 75330343
TS - 78832978; TJ - 77305973
TS - 85019215; TJ - 83732656
TS - 85743029; TJ - 84425004
TS - 74872643; TJ - 70264516
TS - 83742054; TJ - 82308346
TS - 81725735; TJ - 80538175
TS - 73902511; TJ - 72169268
TS - 98415926; TJ - 97280178
TS - 73507413; TJ - 72327323
TS - 85819777; TJ - 84745911
TS - 93640312; TJ - 87375396
TS - 76169326; TJ - 74920112
TS - 78533664; TJ - 74814746
TS - 74521140; TJ - 73347375
TS - 76113353; TJ - 74859793
TS - 87486266; TJ - 86242921
TS - 87180083; TJ - 83875425
TS - 80410897; TJ - 78526872
TS - 89986540; TJ - 88588179
TS - 78297259; TJ - 76993358
TS - 80211315; TJ - 78896308
TS - 72931112; TJ - 71777662
TS - 81193208; TJ - 79867788
TS - 81268096; TJ - 79899348
TS - 79918706; TJ - 78786214
TS - 85257227; TJ - 83887878
TS - 71925498; TJ - 70614102
TS - 74131972; TJ - 72733686
TS - 99342635; TJ - 92665654
TS - 68396724; TJ - 67096025
TS - 108795548; TJ - 100538607
TS - 84735652; TJ - 82739010
TS - 74269894; TJ - 73029328
TS - 83991144; TJ - 82757969
