p-RcB30,Looking for Mr.~Goodbar,1977,R.Brooks,18.320000
p-Z9410,Miracle on 34th Street,1994,UnYear94,6.810000
p-SiW10,Lightning Jack,1994,Wincer,17.320000
p-IMi10,Red Dawn,1984,Milius,17.080000
p-Z9895,One True Thing,1998,UnYear98,19.840000
p-RWh8,Blonde Fever,1944,Whorf,5.580000
p-PtF5,Attilo Flagello di Dio,1954,Francisci,6.230000
p-BE29,The Man Who Loved Women,1983,B.Edwards,18.520000
p-BE28,Curse of the Pink Panther,1983,B.Edwards,19.309999
p-BE27,Trail of the Pink Panther,1982,B.Edwards,9.090000
p-NCo11,The Return of the Incredible Hulk,1988,Corea,6.160000
p-RMq10,Jagged Edge,1985,R.Marquand,6.860000
p-JaC28,The Great Gabbo,1929,Cruze,9.730000
p-W100,The High and the Mighty,1954,Wellman,13.810000
p-KFi10,Airplane II: The Sequel,1982,Finkleman,8.730000
p-BE22,The Pink Panther Strikes Again,1974,B.Edwards,19.889999
p-RyB18,The Three Godfathers,1936,Boleslawski,19.690001
p-MC7,Les Enfants du Paradis,1944,Carne,11.210000
p-MC6,Les Visiteur du Soir,1942,Carne,6.980000
p-TgD1,The Adventures of Picasso,1980,Danielson,11.410000
p-RyB14,Metropolitan,1935,Boleslawski,17.270000
p-RtY10,Vampire Circus,1972,Rbt.Young,12.540000
p-RWa72,A Night to Remember,1943,Ri.Wallace,16.690001
p-LeG40,Fireman Save My Child,1954,Goodwins,5.790000
p-PHt1,On Her Majesty's Secret Service,1969,P.Hunt,11.560000
p-WW80,The Big Country,1958,Wyler,11.800000
p-WW82,The Children's Hour,1962,Wyler,19.049999
p-WW84,How to Steal a Million,1966,Wyler,18.780001
p-IDk30,Tarzan in Manhattan,1989,Derek,11.950000
p-WW85,Funny Girl,1968,Wyler,10.840000
p-WW87,The Liberation of L.B. Jones,1970,Wyler,10.400000
p-CWr10,Ransom,1984,Wrede,6.540000
p-MF8,Amadeus,1983,Forman,15.380000
p-MF5,One Flew over the Cuckoo's Nest,1975,Forman,10.210000
p-MF2,Lasky Jedne Plavovlasky,1965,Forman,14.080000
